"","Year","NumPubs","Host","Note"
"11744",2000,5,"macropus giganteus",""
"11745",2001,5,"macropus giganteus",""
"11746",2002,4,"macropus giganteus",""
"11747",2003,3,"macropus giganteus",""
"11748",2004,3,"macropus giganteus",""
"11749",2005,4,"macropus giganteus",""
"11750",2006,4,"macropus giganteus",""
"11751",2007,3,"macropus giganteus",""
"11752",2008,6,"macropus giganteus",""
"11753",2009,3,"macropus giganteus",""
"11754",2010,4,"macropus giganteus",""
"11755",2011,7,"macropus giganteus",""
"11756",2012,4,"macropus giganteus",""
"11757",2013,3,"macropus giganteus",""
"11758",2014,9,"macropus giganteus",""
"11759",2015,9,"macropus giganteus",""
"11760",2016,6,"macropus giganteus",""
"11761",2017,5,"macropus giganteus",""
"11762",2018,11,"macropus giganteus",""
"11763",2019,13,"macropus giganteus",""
"11764",2020,5,"macropus giganteus",""
"12092",1951,1,"marmota monax",""
"12093",1953,2,"marmota monax",""
"12094",1957,1,"marmota monax",""
"12095",1961,2,"marmota monax",""
"12096",1962,1,"marmota monax",""
"12097",1964,2,"marmota monax",""
"12098",1966,1,"marmota monax",""
"12099",1967,3,"marmota monax",""
"12100",1969,2,"marmota monax",""
"12101",1970,1,"marmota monax",""
"12102",1971,1,"marmota monax",""
"12103",1972,3,"marmota monax",""
"12104",1973,5,"marmota monax",""
"12105",1974,4,"marmota monax",""
"12106",1975,2,"marmota monax",""
"12107",1976,3,"marmota monax",""
"12108",1977,3,"marmota monax",""
"12109",1978,3,"marmota monax",""
"12110",1979,3,"marmota monax",""
"12111",1980,2,"marmota monax",""
"12112",1981,4,"marmota monax",""
"12113",1982,1,"marmota monax",""
"12114",1983,6,"marmota monax",""
"12115",1984,7,"marmota monax",""
"12116",1985,7,"marmota monax",""
"12117",1986,8,"marmota monax",""
"12118",1987,7,"marmota monax",""
"12119",1988,3,"marmota monax",""
"12120",1989,8,"marmota monax",""
"12121",1990,6,"marmota monax",""
"12122",1991,10,"marmota monax",""
"12123",1992,8,"marmota monax",""
"12124",1993,5,"marmota monax",""
"12125",1994,5,"marmota monax",""
"12126",1995,4,"marmota monax",""
"12127",1996,5,"marmota monax",""
"12128",1997,5,"marmota monax",""
"12129",1998,1,"marmota monax",""
"12130",1999,5,"marmota monax",""
"12131",2000,4,"marmota monax",""
"12132",2001,7,"marmota monax",""
"12133",2002,4,"marmota monax",""
"12134",2003,6,"marmota monax",""
"12135",2004,7,"marmota monax",""
"12136",2005,4,"marmota monax",""
"12137",2006,5,"marmota monax",""
"12138",2007,5,"marmota monax",""
"12139",2008,6,"marmota monax",""
"12140",2009,4,"marmota monax",""
"12141",2010,10,"marmota monax",""
"12142",2011,1,"marmota monax",""
"12143",2012,5,"marmota monax",""
"12144",2013,3,"marmota monax",""
"12145",2014,6,"marmota monax",""
"12146",2015,1,"marmota monax",""
"12147",2016,2,"marmota monax",""
"12148",2017,2,"marmota monax",""
"12149",2018,3,"marmota monax",""
"12150",2019,1,"marmota monax",""
"12151",2020,7,"marmota monax",""
"12770",1950,2,"mesocricetus auratus",""
"12771",1951,3,"mesocricetus auratus",""
"12772",1952,3,"mesocricetus auratus",""
"12773",1953,4,"mesocricetus auratus",""
"12774",1954,5,"mesocricetus auratus",""
"12775",1955,2,"mesocricetus auratus",""
"12776",1956,5,"mesocricetus auratus",""
"12777",1957,5,"mesocricetus auratus",""
"12778",1958,3,"mesocricetus auratus",""
"12779",1960,6,"mesocricetus auratus",""
"12780",1961,11,"mesocricetus auratus",""
"12781",1962,6,"mesocricetus auratus",""
"12782",1963,6,"mesocricetus auratus",""
"12783",1964,12,"mesocricetus auratus",""
"12784",1965,13,"mesocricetus auratus",""
"12785",1966,14,"mesocricetus auratus",""
"12786",1967,15,"mesocricetus auratus",""
"12787",1968,17,"mesocricetus auratus",""
"12788",1969,12,"mesocricetus auratus",""
"12789",1970,15,"mesocricetus auratus",""
"12790",1971,10,"mesocricetus auratus",""
"12791",1972,18,"mesocricetus auratus",""
"12792",1973,29,"mesocricetus auratus",""
"12793",1974,19,"mesocricetus auratus",""
"12794",1975,23,"mesocricetus auratus",""
"12795",1976,19,"mesocricetus auratus",""
"12796",1977,29,"mesocricetus auratus",""
"12797",1978,32,"mesocricetus auratus",""
"12798",1979,29,"mesocricetus auratus",""
"12799",1980,33,"mesocricetus auratus",""
"12800",1981,33,"mesocricetus auratus",""
"12801",1982,34,"mesocricetus auratus",""
"12802",1983,39,"mesocricetus auratus",""
"12803",1984,32,"mesocricetus auratus",""
"12804",1985,38,"mesocricetus auratus",""
"12805",1986,40,"mesocricetus auratus",""
"12806",1987,39,"mesocricetus auratus",""
"12807",1988,46,"mesocricetus auratus",""
"12808",1989,53,"mesocricetus auratus",""
"12809",1990,39,"mesocricetus auratus",""
"12810",1991,39,"mesocricetus auratus",""
"12811",1992,25,"mesocricetus auratus",""
"12812",1993,36,"mesocricetus auratus",""
"12813",1994,33,"mesocricetus auratus",""
"12814",1995,29,"mesocricetus auratus",""
"12815",1996,35,"mesocricetus auratus",""
"12816",1997,32,"mesocricetus auratus",""
"12817",1998,32,"mesocricetus auratus",""
"12818",1999,41,"mesocricetus auratus",""
"12819",2000,30,"mesocricetus auratus",""
"12820",2001,32,"mesocricetus auratus",""
"12821",2002,40,"mesocricetus auratus",""
"12822",2003,34,"mesocricetus auratus",""
"12823",2004,34,"mesocricetus auratus",""
"12824",2005,46,"mesocricetus auratus",""
"12825",2006,30,"mesocricetus auratus",""
"12826",2007,35,"mesocricetus auratus",""
"12827",2008,29,"mesocricetus auratus",""
"12828",2009,21,"mesocricetus auratus",""
"12829",2010,32,"mesocricetus auratus",""
"12830",2011,31,"mesocricetus auratus",""
"12831",2012,21,"mesocricetus auratus",""
"12832",2013,31,"mesocricetus auratus",""
"12833",2014,38,"mesocricetus auratus",""
"12834",2015,35,"mesocricetus auratus",""
"12835",2016,27,"mesocricetus auratus",""
"12836",2017,24,"mesocricetus auratus",""
"12837",2018,20,"mesocricetus auratus",""
"12838",2019,20,"mesocricetus auratus",""
"12839",2020,23,"mesocricetus auratus",""
"12840",2021,1,"mesocricetus auratus",""
"12901",1957,1,"micromys minutus",""
"12902",1967,1,"micromys minutus",""
"12903",1969,1,"micromys minutus",""
"12904",1970,2,"micromys minutus",""
"12905",1972,1,"micromys minutus",""
"12906",1979,1,"micromys minutus",""
"12907",1980,2,"micromys minutus",""
"12908",1981,1,"micromys minutus",""
"12909",1985,2,"micromys minutus",""
"12910",1986,2,"micromys minutus",""
"12911",1987,4,"micromys minutus",""
"12912",1988,2,"micromys minutus",""
"12913",1990,3,"micromys minutus",""
"12914",1991,1,"micromys minutus",""
"12915",1992,2,"micromys minutus",""
"12916",1995,3,"micromys minutus",""
"12917",1996,2,"micromys minutus",""
"12918",1997,3,"micromys minutus",""
"12919",1999,3,"micromys minutus",""
"12920",2001,1,"micromys minutus",""
"12921",2004,1,"micromys minutus",""
"12922",2006,3,"micromys minutus",""
"12923",2007,3,"micromys minutus",""
"12924",2008,1,"micromys minutus",""
"12925",2009,3,"micromys minutus",""
"12926",2010,6,"micromys minutus",""
"12927",2011,1,"micromys minutus",""
"12928",2012,2,"micromys minutus",""
"12929",2013,5,"micromys minutus",""
"12930",2014,4,"micromys minutus",""
"12931",2015,4,"micromys minutus",""
"12932",2016,3,"micromys minutus",""
"12933",2017,8,"micromys minutus",""
"12934",2018,2,"micromys minutus",""
"12935",2019,3,"micromys minutus",""
"12936",2020,6,"micromys minutus",""
"12937",2011,1,"micronycteris megalotis",""
"12938",2019,1,"micronycteris megalotis",""
"14004",1931,4,"mus musculus",""
"14005",1933,2,"mus musculus",""
"14006",1935,2,"mus musculus",""
"14007",1936,2,"mus musculus",""
"14008",1945,2,"mus musculus",""
"14009",1946,2,"mus musculus",""
"14010",1947,3,"mus musculus",""
"14011",1948,1,"mus musculus",""
"14012",1949,5,"mus musculus",""
"14013",1950,5,"mus musculus",""
"14014",1951,3,"mus musculus",""
"14015",1952,3,"mus musculus",""
"14016",1953,5,"mus musculus",""
"14017",1954,2,"mus musculus",""
"14018",1955,3,"mus musculus",""
"14019",1956,4,"mus musculus",""
"14020",1957,3,"mus musculus",""
"14021",1958,4,"mus musculus",""
"14022",1959,8,"mus musculus",""
"14023",1960,2,"mus musculus",""
"14024",1961,8,"mus musculus",""
"14025",1962,5,"mus musculus",""
"14026",1963,11,"mus musculus",""
"14027",1964,9,"mus musculus",""
"14028",1965,15,"mus musculus",""
"14029",1966,12,"mus musculus",""
"14030",1967,17,"mus musculus",""
"14031",1968,13,"mus musculus",""
"14032",1969,24,"mus musculus",""
"14033",1970,21,"mus musculus",""
"14034",1971,19,"mus musculus",""
"14035",1972,29,"mus musculus",""
"14036",1973,33,"mus musculus",""
"14037",1974,29,"mus musculus",""
"14038",1975,58,"mus musculus",""
"14039",1976,62,"mus musculus",""
"14040",1977,38,"mus musculus",""
"14041",1978,48,"mus musculus",""
"14042",1979,61,"mus musculus",""
"14043",1980,42,"mus musculus",""
"14044",1981,64,"mus musculus",""
"14045",1982,69,"mus musculus",""
"14046",1983,60,"mus musculus",""
"14047",1984,62,"mus musculus",""
"14048",1985,64,"mus musculus",""
"14049",1986,76,"mus musculus",""
"14050",1987,59,"mus musculus",""
"14051",1988,81,"mus musculus",""
"14052",1989,70,"mus musculus",""
"14053",1990,59,"mus musculus",""
"14054",1991,94,"mus musculus",""
"14055",1992,84,"mus musculus",""
"14056",1993,91,"mus musculus",""
"14057",1994,73,"mus musculus",""
"14058",1995,77,"mus musculus",""
"14059",1996,71,"mus musculus",""
"14060",1997,57,"mus musculus",""
"14061",1998,82,"mus musculus",""
"14062",1999,82,"mus musculus",""
"14063",2000,66,"mus musculus",""
"14064",2001,89,"mus musculus",""
"14065",2002,104,"mus musculus",""
"14066",2003,115,"mus musculus",""
"14067",2004,108,"mus musculus",""
"14068",2005,90,"mus musculus",""
"14069",2006,126,"mus musculus",""
"14070",2007,169,"mus musculus",""
"14071",2008,163,"mus musculus",""
"14072",2009,147,"mus musculus",""
"14073",2010,168,"mus musculus",""
"14074",2011,179,"mus musculus",""
"14075",2012,154,"mus musculus",""
"14076",2013,184,"mus musculus",""
"14077",2014,223,"mus musculus",""
"14078",2015,200,"mus musculus",""
"14079",2016,222,"mus musculus",""
"14080",2017,224,"mus musculus",""
"14081",2018,230,"mus musculus",""
"14082",2019,230,"mus musculus",""
"14083",2020,257,"mus musculus",""
"14084",2021,10,"mus musculus",""
"16050",1951,1,"odocoileus virginianus",""
"16051",1953,1,"odocoileus virginianus",""
"16052",1955,1,"odocoileus virginianus",""
"16053",1956,1,"odocoileus virginianus",""
"16054",1958,2,"odocoileus virginianus",""
"16055",1959,1,"odocoileus virginianus",""
"16056",1960,1,"odocoileus virginianus",""
"16057",1962,2,"odocoileus virginianus",""
"16058",1963,1,"odocoileus virginianus",""
"16059",1964,1,"odocoileus virginianus",""
"16060",1965,1,"odocoileus virginianus",""
"16061",1966,1,"odocoileus virginianus",""
"16062",1967,1,"odocoileus virginianus",""
"16063",1968,3,"odocoileus virginianus",""
"16064",1969,7,"odocoileus virginianus",""
"16065",1970,15,"odocoileus virginianus",""
"16066",1971,5,"odocoileus virginianus",""
"16067",1972,3,"odocoileus virginianus",""
"16068",1973,1,"odocoileus virginianus",""
"16069",1974,8,"odocoileus virginianus",""
"16070",1975,22,"odocoileus virginianus",""
"16071",1976,14,"odocoileus virginianus",""
"16072",1977,16,"odocoileus virginianus",""
"16073",1978,8,"odocoileus virginianus",""
"16074",1979,8,"odocoileus virginianus",""
"16075",1980,10,"odocoileus virginianus",""
"16076",1981,9,"odocoileus virginianus",""
"16077",1982,12,"odocoileus virginianus",""
"16078",1983,10,"odocoileus virginianus",""
"16079",1984,13,"odocoileus virginianus",""
"16080",1985,18,"odocoileus virginianus",""
"16081",1986,15,"odocoileus virginianus",""
"16082",1987,14,"odocoileus virginianus",""
"16083",1988,13,"odocoileus virginianus",""
"16084",1989,18,"odocoileus virginianus",""
"16085",1990,13,"odocoileus virginianus",""
"16086",1991,23,"odocoileus virginianus",""
"16087",1992,18,"odocoileus virginianus",""
"16088",1993,19,"odocoileus virginianus",""
"16089",1994,15,"odocoileus virginianus",""
"16090",1995,19,"odocoileus virginianus",""
"16091",1996,25,"odocoileus virginianus",""
"16092",1997,18,"odocoileus virginianus",""
"16093",1998,16,"odocoileus virginianus",""
"16094",1999,26,"odocoileus virginianus",""
"16095",2000,17,"odocoileus virginianus",""
"16096",2001,17,"odocoileus virginianus",""
"16097",2002,32,"odocoileus virginianus",""
"16098",2003,29,"odocoileus virginianus",""
"16099",2004,40,"odocoileus virginianus",""
"16100",2005,19,"odocoileus virginianus",""
"16101",2006,22,"odocoileus virginianus",""
"16102",2007,31,"odocoileus virginianus",""
"16103",2008,34,"odocoileus virginianus",""
"16104",2009,42,"odocoileus virginianus",""
"16105",2010,31,"odocoileus virginianus",""
"16106",2011,30,"odocoileus virginianus",""
"16107",2012,45,"odocoileus virginianus",""
"16108",2013,46,"odocoileus virginianus",""
"16109",2014,50,"odocoileus virginianus",""
"16110",2015,33,"odocoileus virginianus",""
"16111",2016,36,"odocoileus virginianus",""
"16112",2017,39,"odocoileus virginianus",""
"16113",2018,61,"odocoileus virginianus",""
"16114",2019,55,"odocoileus virginianus",""
"16115",2020,58,"odocoileus virginianus",""
"16116",2021,1,"odocoileus virginianus",""
"16123",1956,2,"okapia johnstoni",""
"16124",1967,1,"okapia johnstoni",""
"16125",1969,1,"okapia johnstoni",""
"16126",1971,1,"okapia johnstoni",""
"16127",1980,1,"okapia johnstoni",""
"16128",1981,1,"okapia johnstoni",""
"16129",1986,2,"okapia johnstoni",""
"16130",1987,1,"okapia johnstoni",""
"16131",1996,1,"okapia johnstoni",""
"16132",2000,1,"okapia johnstoni",""
"16133",2002,1,"okapia johnstoni",""
"16134",2003,1,"okapia johnstoni",""
"16135",2005,2,"okapia johnstoni",""
"16136",2006,1,"okapia johnstoni",""
"16137",2007,1,"okapia johnstoni",""
"16138",2008,1,"okapia johnstoni",""
"16139",2009,2,"okapia johnstoni",""
"16140",2011,1,"okapia johnstoni",""
"16141",2012,2,"okapia johnstoni",""
"16142",2014,4,"okapia johnstoni",""
"16143",2015,4,"okapia johnstoni",""
"16144",2016,1,"okapia johnstoni",""
"16145",2017,1,"okapia johnstoni",""
"16146",2018,1,"okapia johnstoni",""
"16147",2019,1,"okapia johnstoni",""
"16148",2020,2,"okapia johnstoni",""
"16814",1951,3,"ovis aries",""
"16815",1952,2,"ovis aries",""
"16816",1953,3,"ovis aries",""
"16817",1954,1,"ovis aries",""
"16818",1955,1,"ovis aries",""
"16819",1956,1,"ovis aries",""
"16820",1958,4,"ovis aries",""
"16821",1959,3,"ovis aries",""
"16822",1960,1,"ovis aries",""
"16823",1961,6,"ovis aries",""
"16824",1962,4,"ovis aries",""
"16825",1963,1,"ovis aries",""
"16826",1964,5,"ovis aries",""
"16827",1965,2,"ovis aries",""
"16828",1966,5,"ovis aries",""
"16829",1967,5,"ovis aries",""
"16830",1968,8,"ovis aries",""
"16831",1969,6,"ovis aries",""
"16832",1970,9,"ovis aries",""
"16833",1971,9,"ovis aries",""
"16834",1972,9,"ovis aries",""
"16835",1973,2,"ovis aries",""
"16836",1974,3,"ovis aries",""
"16837",1975,4,"ovis aries",""
"16838",1976,5,"ovis aries",""
"16839",1977,8,"ovis aries",""
"16840",1978,10,"ovis aries",""
"16841",1979,8,"ovis aries",""
"16842",1980,6,"ovis aries",""
"16843",1981,9,"ovis aries",""
"16844",1982,9,"ovis aries",""
"16845",1983,13,"ovis aries",""
"16846",1984,7,"ovis aries",""
"16847",1985,12,"ovis aries",""
"16848",1986,14,"ovis aries",""
"16849",1987,5,"ovis aries",""
"16850",1988,17,"ovis aries",""
"16851",1989,12,"ovis aries",""
"16852",1990,9,"ovis aries",""
"16853",1991,8,"ovis aries",""
"16854",1992,5,"ovis aries",""
"16855",1993,9,"ovis aries",""
"16856",1994,17,"ovis aries",""
"16857",1995,16,"ovis aries",""
"16858",1996,12,"ovis aries",""
"16859",1997,11,"ovis aries",""
"16860",1998,15,"ovis aries",""
"16861",1999,16,"ovis aries",""
"16862",2000,16,"ovis aries",""
"16863",2001,13,"ovis aries",""
"16864",2002,8,"ovis aries",""
"16865",2003,20,"ovis aries",""
"16866",2004,18,"ovis aries",""
"16867",2005,23,"ovis aries",""
"16868",2006,30,"ovis aries",""
"16869",2007,40,"ovis aries",""
"16870",2008,24,"ovis aries",""
"16871",2009,54,"ovis aries",""
"16872",2010,43,"ovis aries",""
"16873",2011,42,"ovis aries",""
"16874",2012,47,"ovis aries",""
"16875",2013,40,"ovis aries",""
"16876",2014,53,"ovis aries",""
"16877",2015,67,"ovis aries",""
"16878",2016,72,"ovis aries",""
"16879",2017,79,"ovis aries",""
"16880",2018,70,"ovis aries",""
"16881",2019,85,"ovis aries",""
"16882",2020,97,"ovis aries",""
"16883",2021,4,"ovis aries",""
"16974",1959,1,"ovis orientalis",""
"16975",1976,1,"ovis orientalis",""
"16976",1979,1,"ovis orientalis",""
"16977",1994,1,"ovis orientalis",""
"16978",1995,2,"ovis orientalis",""
"16979",1996,1,"ovis orientalis",""
"16980",1999,1,"ovis orientalis",""
"16981",2000,3,"ovis orientalis",""
"16982",2001,3,"ovis orientalis",""
"16983",2002,2,"ovis orientalis",""
"16984",2003,1,"ovis orientalis",""
"16985",2005,1,"ovis orientalis",""
"16986",2006,2,"ovis orientalis",""
"16987",2007,4,"ovis orientalis",""
"16988",2009,3,"ovis orientalis",""
"16989",2010,1,"ovis orientalis",""
"16990",2011,4,"ovis orientalis",""
"16991",2012,2,"ovis orientalis",""
"16992",2013,3,"ovis orientalis",""
"16993",2014,6,"ovis orientalis",""
"16994",2015,5,"ovis orientalis",""
"16995",2016,9,"ovis orientalis",""
"16996",2017,4,"ovis orientalis",""
"16997",2018,9,"ovis orientalis",""
"16998",2019,6,"ovis orientalis",""
"16999",2020,8,"ovis orientalis",""
"17158",1960,1,"pan troglodytes",""
"17159",1962,1,"pan troglodytes",""
"17160",1965,1,"pan troglodytes",""
"17161",1966,1,"pan troglodytes",""
"17162",1967,3,"pan troglodytes",""
"17163",1968,1,"pan troglodytes",""
"17164",1969,3,"pan troglodytes",""
"17165",1970,5,"pan troglodytes",""
"17166",1971,4,"pan troglodytes",""
"17167",1972,9,"pan troglodytes",""
"17168",1973,8,"pan troglodytes",""
"17169",1974,5,"pan troglodytes",""
"17170",1975,10,"pan troglodytes",""
"17171",1976,8,"pan troglodytes",""
"17172",1977,7,"pan troglodytes",""
"17173",1978,12,"pan troglodytes",""
"17174",1979,13,"pan troglodytes",""
"17175",1980,10,"pan troglodytes",""
"17176",1981,7,"pan troglodytes",""
"17177",1982,10,"pan troglodytes",""
"17178",1983,10,"pan troglodytes",""
"17179",1984,13,"pan troglodytes",""
"17180",1985,14,"pan troglodytes",""
"17181",1986,14,"pan troglodytes",""
"17182",1987,11,"pan troglodytes",""
"17183",1988,18,"pan troglodytes",""
"17184",1989,16,"pan troglodytes",""
"17185",1990,26,"pan troglodytes",""
"17186",1991,17,"pan troglodytes",""
"17187",1992,26,"pan troglodytes",""
"17188",1993,37,"pan troglodytes",""
"17189",1994,34,"pan troglodytes",""
"17190",1995,29,"pan troglodytes",""
"17191",1996,40,"pan troglodytes",""
"17192",1997,23,"pan troglodytes",""
"17193",1998,36,"pan troglodytes",""
"17194",1999,46,"pan troglodytes",""
"17195",2000,48,"pan troglodytes",""
"17196",2001,55,"pan troglodytes",""
"17197",2002,58,"pan troglodytes",""
"17198",2003,57,"pan troglodytes",""
"17199",2004,85,"pan troglodytes",""
"17200",2005,87,"pan troglodytes",""
"17201",2006,82,"pan troglodytes",""
"17202",2007,103,"pan troglodytes",""
"17203",2008,92,"pan troglodytes",""
"17204",2009,111,"pan troglodytes",""
"17205",2010,91,"pan troglodytes",""
"17206",2011,94,"pan troglodytes",""
"17207",2012,94,"pan troglodytes",""
"17208",2013,140,"pan troglodytes",""
"17209",2014,121,"pan troglodytes",""
"17210",2015,102,"pan troglodytes",""
"17211",2016,104,"pan troglodytes",""
"17212",2017,102,"pan troglodytes",""
"17213",2018,105,"pan troglodytes",""
"17214",2019,103,"pan troglodytes",""
"17215",2020,117,"pan troglodytes",""
"17216",2021,6,"pan troglodytes",""
"17217",1968,1,"panthera leo",""
"17218",1973,1,"panthera leo",""
"17219",1974,2,"panthera leo",""
"17220",1975,4,"panthera leo",""
"17221",1976,1,"panthera leo",""
"17222",1977,1,"panthera leo",""
"17223",1978,1,"panthera leo",""
"17224",1979,4,"panthera leo",""
"17225",1980,1,"panthera leo",""
"17226",1981,1,"panthera leo",""
"17227",1983,1,"panthera leo",""
"17228",1984,1,"panthera leo",""
"17229",1985,4,"panthera leo",""
"17230",1986,2,"panthera leo",""
"17231",1987,3,"panthera leo",""
"17232",1988,2,"panthera leo",""
"17233",1989,3,"panthera leo",""
"17234",1990,3,"panthera leo",""
"17235",1991,2,"panthera leo",""
"17236",1992,2,"panthera leo",""
"17237",1993,4,"panthera leo",""
"17238",1994,5,"panthera leo",""
"17239",1995,7,"panthera leo",""
"17240",1996,6,"panthera leo",""
"17241",1997,6,"panthera leo",""
"17242",1998,8,"panthera leo",""
"17243",1999,8,"panthera leo",""
"17244",2000,6,"panthera leo",""
"17245",2001,3,"panthera leo",""
"17246",2002,7,"panthera leo",""
"17247",2003,11,"panthera leo",""
"17248",2004,8,"panthera leo",""
"17249",2005,11,"panthera leo",""
"17250",2006,16,"panthera leo",""
"17251",2007,20,"panthera leo",""
"17252",2008,25,"panthera leo",""
"17253",2009,10,"panthera leo",""
"17254",2010,17,"panthera leo",""
"17255",2011,12,"panthera leo",""
"17256",2012,27,"panthera leo",""
"17257",2013,27,"panthera leo",""
"17258",2014,35,"panthera leo",""
"17259",2015,23,"panthera leo",""
"17260",2016,33,"panthera leo",""
"17261",2017,29,"panthera leo",""
"17262",2018,25,"panthera leo",""
"17263",2019,28,"panthera leo",""
"17264",2020,29,"panthera leo",""
"17265",2021,2,"panthera leo",""
"17266",1967,1,"panthera onca",""
"17267",1976,2,"panthera onca",""
"17268",1979,1,"panthera onca",""
"17269",1981,1,"panthera onca",""
"17270",1982,1,"panthera onca",""
"17271",1984,1,"panthera onca",""
"17272",1986,2,"panthera onca",""
"17273",1987,1,"panthera onca",""
"17274",1990,1,"panthera onca",""
"17275",1993,2,"panthera onca",""
"17276",1994,2,"panthera onca",""
"17277",1995,2,"panthera onca",""
"17278",1996,1,"panthera onca",""
