"HostOrder","Year","Discovered","VirusFamily","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Primates",1981,0,"NA",27,19,52,0.354433387402076,0.0749594148448852,0.227224491908687,0.347049454169808,0.5246705258305,0.188978867843304,0.725346345872424,0.211490840054099,0.00561891387388759,"1930"
"Primates",1982,0,"NA",27,19,53,0.355525453291036,0.0764610059190902,0.227359265405943,0.348131188609415,0.529779676024637,0.187406988630402,0.736361844004349,0.215064787095563,0.00584628542615915,"1930"
"Primates",1983,1,"Caliciviridae",27,20,54,0.356644596997066,0.0780687014378201,0.225382636839793,0.348070873154525,0.533543368326424,0.18378095344811,0.747544629391231,0.218897754501696,0.0060947221441875,"1930"
"Primates",1984,0,"NA",27,20,55,0.35779103809283,0.0797792343521805,0.224500501370701,0.348309142165157,0.537971448127653,0.18022507643462,0.75889724254693,0.222977173429038,0.00636472623382013,"1930"
"Primates",1985,0,"NA",27,20,56,0.358965002053771,0.0815893896584199,0.223782763893563,0.348866202145816,0.541638794976739,0.17673800013795,0.770422262566909,0.22729065282581,0.00665682850483348,"1930"
"Primates",1986,0,"NA",27,20,57,0.36016672033257,0.0834960436010469,0.222403694415742,0.349308890617916,0.546396637756515,0.173318393370711,0.782122307714158,0.23182609299368,0.00697158929702793,"1930"
"Primates",1987,0,"NA",27,20,58,0.361396430435699,0.0854961955669005,0.220051166405345,0.349699429153907,0.550911707717185,0.169964950701932,0.794000036014008,0.236571776494379,0.0073095994564137,"1930"
"Primates",1988,0,"NA",27,20,59,0.3626543760021,0.0875869931181331,0.217275638329372,0.350604117607654,0.556575197458612,0.166676391958707,0.80605814585799,0.241516438002739,0.0076714813634759,"1930"
"Primates",1989,0,"NA",27,20,60,0.363940806884028,0.0897657507940229,0.216340511337231,0.351462106576177,0.562838201751752,0.163451461737498,0.818299376616851,0.246649315207534,0.00805789001561462,"1930"
"Primates",1990,0,"NA",27,20,61,0.365255979230094,0.0920299634139252,0.215157767163866,0.352085230820012,0.567944946927611,0.160288928924881,0.830726509262893,0.251960183123931,0.00846951416596842,"1930"
"Primates",1991,0,"NA",27,20,62,0.366600155570541,0.0943773146521293,0.213880198788056,0.352741030657828,0.573834083430747,0.157187586227572,0.843342367001749,0.257439374255719,0.00890707752094701,"1930"
"Primates",1992,0,"NA",27,20,63,0.367973604904805,0.0968056816458735,0.212300525393111,0.353380485001602,0.580145093842898,0.154146249711542,0.86422905349936,0.263077786981263,0.00937133999892221,"1930"
"Primates",1993,0,"NA",27,20,64,0.369376602791384,0.0993131363549378,0.211012421230244,0.354378343011106,0.586407960911154,0.151163758350054,0.885929293687869,0.26886688437878,0.00986309905265447,"1930"
"Primates",1994,0,"NA",27,20,65,0.370809431440074,0.101897944327486,0.209180445959878,0.356122109833743,0.593995734878843,0.148238973580443,0.908174413063594,0.27479868549124,0.0103831910581675,"1930"
