Year,NumPubs,Host,Note,VirusRelated
1978,1,balaenoptera borealis,,TRUE
1978,1,balaenoptera physalus,,TRUE
1995,1,balaenoptera physalus,,TRUE
2000,1,balaenoptera physalus,,TRUE
2015,1,balaenoptera physalus,,TRUE
2017,2,balaenoptera physalus,,TRUE
2020,0,balionycteris maculata,No publications,TRUE
1986,1,bandicota bengalensis,,TRUE
1997,1,bandicota bengalensis,,TRUE
2001,1,bandicota bengalensis,,TRUE
2002,1,bandicota bengalensis,,TRUE
2019,1,bandicota bengalensis,,TRUE
1985,1,bandicota indica,,TRUE
1986,1,bandicota indica,,TRUE
1992,1,bandicota indica,,TRUE
1996,1,bandicota indica,,TRUE
1997,1,bandicota indica,,TRUE
2000,1,bandicota indica,,TRUE
2002,1,bandicota indica,,TRUE
2006,2,bandicota indica,,TRUE
2008,1,bandicota indica,,TRUE
