Year,NumPubs,Host,Note
1979,1,alouatta palliata,
1980,1,alouatta palliata,
1981,1,alouatta palliata,
1982,3,alouatta palliata,
1983,2,alouatta palliata,
1984,4,alouatta palliata,
1985,1,alouatta palliata,
1986,3,alouatta palliata,
1987,1,alouatta palliata,
1988,1,alouatta palliata,
1990,4,alouatta palliata,
1991,3,alouatta palliata,
1992,2,alouatta palliata,
1993,1,alouatta palliata,
1994,3,alouatta palliata,
1995,3,alouatta palliata,
1996,1,alouatta palliata,
1997,1,alouatta palliata,
1998,3,alouatta palliata,
1999,2,alouatta palliata,
2000,1,alouatta palliata,
2001,1,alouatta palliata,
2002,5,alouatta palliata,
2003,3,alouatta palliata,
2004,5,alouatta palliata,
2005,6,alouatta palliata,
2006,4,alouatta palliata,
2007,15,alouatta palliata,
2008,5,alouatta palliata,
2009,7,alouatta palliata,
2010,8,alouatta palliata,
2011,3,alouatta palliata,
2012,5,alouatta palliata,
2013,7,alouatta palliata,
2014,8,alouatta palliata,
2015,8,alouatta palliata,
2016,7,alouatta palliata,
2017,9,alouatta palliata,
2018,4,alouatta palliata,
2019,5,alouatta palliata,
2020,15,alouatta palliata,
1960,1,alouatta pigra,
1972,1,alouatta pigra,
1973,1,alouatta pigra,
1975,2,alouatta pigra,
1976,2,alouatta pigra,
1977,1,alouatta pigra,
1978,1,alouatta pigra,
1979,1,alouatta pigra,
1980,1,alouatta pigra,
1981,1,alouatta pigra,
1982,3,alouatta pigra,
1983,2,alouatta pigra,
1984,4,alouatta pigra,
1985,1,alouatta pigra,
1986,3,alouatta pigra,
1987,1,alouatta pigra,
1988,2,alouatta pigra,
1990,3,alouatta pigra,
1991,3,alouatta pigra,
1992,2,alouatta pigra,
1993,1,alouatta pigra,
1994,3,alouatta pigra,
1995,3,alouatta pigra,
1996,1,alouatta pigra,
1997,2,alouatta pigra,
1998,5,alouatta pigra,
1999,2,alouatta pigra,
2000,1,alouatta pigra,
2001,1,alouatta pigra,
2002,7,alouatta pigra,
2003,4,alouatta pigra,
2004,7,alouatta pigra,
2005,7,alouatta pigra,
2006,7,alouatta pigra,
2007,15,alouatta pigra,
2008,8,alouatta pigra,
2009,8,alouatta pigra,
2010,12,alouatta pigra,
2011,8,alouatta pigra,
2012,10,alouatta pigra,
2013,11,alouatta pigra,
2014,20,alouatta pigra,
2015,13,alouatta pigra,
2016,12,alouatta pigra,
2017,17,alouatta pigra,
2018,8,alouatta pigra,
2019,6,alouatta pigra,
2020,21,alouatta pigra,
1995,1,alouatta sara,
1996,1,alouatta sara,
1998,1,alouatta sara,
2001,1,alouatta sara,
2002,1,alouatta sara,
2003,1,alouatta sara,
2004,1,alouatta sara,
2007,1,alouatta sara,
2009,1,alouatta sara,
2017,2,alouatta sara,
2020,2,alouatta sara,
1964,2,alouatta seniculus,
1967,1,alouatta seniculus,
1968,1,alouatta seniculus,
1972,2,alouatta seniculus,
1976,1,alouatta seniculus,
1980,1,alouatta seniculus,
1981,2,alouatta seniculus,
1982,3,alouatta seniculus,
1984,2,alouatta seniculus,
1986,1,alouatta seniculus,
1987,3,alouatta seniculus,
1988,1,alouatta seniculus,
1990,1,alouatta seniculus,
1991,1,alouatta seniculus,
1992,2,alouatta seniculus,
1993,4,alouatta seniculus,
1994,4,alouatta seniculus,
1995,4,alouatta seniculus,
1996,3,alouatta seniculus,
1998,5,alouatta seniculus,
1999,1,alouatta seniculus,
2000,2,alouatta seniculus,
2001,6,alouatta seniculus,
2002,2,alouatta seniculus,
2003,1,alouatta seniculus,
2004,1,alouatta seniculus,
2006,1,alouatta seniculus,
2007,2,alouatta seniculus,
2008,1,alouatta seniculus,
2009,1,alouatta seniculus,
2011,5,alouatta seniculus,
2012,3,alouatta seniculus,
2013,3,alouatta seniculus,
2014,3,alouatta seniculus,
2015,1,alouatta seniculus,
2016,2,alouatta seniculus,
2017,3,alouatta seniculus,
2018,1,alouatta seniculus,
2019,3,alouatta seniculus,
2020,4,alouatta seniculus,
2021,1,alouatta seniculus,
1978,1,alticola argentatus,
1988,1,alticola argentatus,
1989,1,alticola argentatus,
1990,1,alticola argentatus,
1992,2,alticola argentatus,
