"Year","NumPubs","Host","Note","VirusRelated"
2009,1,"Arvicola amphibius","",TRUE
2012,1,"Arvicola amphibius","",TRUE
2008,1,"Arvicola scherman","",TRUE
2002,1,"Atelerix albiventris","",TRUE
2018,1,"Atelerix albiventris","",TRUE
2019,1,"Atelerix albiventris","",TRUE
2020,2,"Atelerix albiventris","",TRUE
1993,1,"Ateles fusciceps","",TRUE
1994,1,"Ateles fusciceps","",TRUE
1998,1,"Ateles geoffroyi","",TRUE
1999,1,"Ateles geoffroyi","",TRUE
2016,1,"Ateles geoffroyi","",TRUE
1998,1,"Ateles paniscus","",TRUE
2018,0,"Atherurus africanus","No publications",TRUE
2007,1,"Atilax paludinosus","",TRUE
2018,0,"Axis porcinus","No publications",TRUE
1999,1,"Babyrousa babyrussa","",TRUE
2015,1,"Babyrousa babyrussa","",TRUE
2005,1,"Baiomys taylori","",TRUE
2009,1,"Baiomys taylori","",TRUE
2010,1,"Baiomys taylori","",TRUE
2018,1,"Baiomys taylori","",TRUE
1987,1,"Balaena mysticetus","",TRUE
1998,1,"Balaena mysticetus","",TRUE
2002,1,"Balaena mysticetus","",TRUE
1995,1,"Balaenoptera acutorostrata","",TRUE
2010,1,"Balaenoptera acutorostrata","",TRUE
2015,1,"Balaenoptera acutorostrata","",TRUE
2020,1,"Balaenoptera acutorostrata","",TRUE
1978,1,"Balaenoptera borealis","",TRUE
1978,1,"Balaenoptera physalus","",TRUE
1995,1,"Balaenoptera physalus","",TRUE
2000,1,"Balaenoptera physalus","",TRUE
2015,1,"Balaenoptera physalus","",TRUE
2017,2,"Balaenoptera physalus","",TRUE
1986,1,"Bandicota bengalensis","",TRUE
1997,1,"Bandicota bengalensis","",TRUE
2001,1,"Bandicota bengalensis","",TRUE
2002,1,"Bandicota bengalensis","",TRUE
2019,1,"Bandicota bengalensis","",TRUE
1985,1,"Bandicota indica","",TRUE
1986,1,"Bandicota indica","",TRUE
1992,1,"Bandicota indica","",TRUE
1996,1,"Bandicota indica","",TRUE
1997,1,"Bandicota indica","",TRUE
2000,1,"Bandicota indica","",TRUE
2002,1,"Bandicota indica","",TRUE
2006,2,"Bandicota indica","",TRUE
2008,1,"Bandicota indica","",TRUE
2009,1,"Bandicota indica","",TRUE
2010,1,"Bandicota indica","",TRUE
2011,1,"Bandicota indica","",TRUE
2013,1,"Bandicota indica","",TRUE
2018,1,"Bandicota indica","",TRUE
2019,1,"Bandicota indica","",TRUE
2020,1,"Bandicota indica","",TRUE
2000,1,"Bandicota savilei","",TRUE
2006,1,"Bandicota savilei","",TRUE
2011,1,"Bandicota savilei","",TRUE
2016,1,"Barbastella barbastellus","",TRUE
2018,0,"Bassaricyon gabbii","No publications",TRUE
2016,1,"Bassariscus astutus","",TRUE
2018,0,"Beatragus hunteri","No publications",TRUE
2018,0,"Bettongia gaimardi","No publications",TRUE
2010,1,"Bettongia penicillata","",TRUE
2017,1,"Bettongia penicillata","",TRUE
2018,0,"Bibimys chacoensis","No publications",TRUE
1979,1,"Bison bison","",TRUE
1983,3,"Bison bison","",TRUE
1987,1,"Bison bison","",TRUE
1990,2,"Bison bison","",TRUE
1991,2,"Bison bison","",TRUE
1994,3,"Bison bison","",TRUE
1995,2,"Bison bison","",TRUE
1996,2,"Bison bison","",TRUE
1997,1,"Bison bison","",TRUE
1998,3,"Bison bison","",TRUE
1999,2,"Bison bison","",TRUE
2000,3,"Bison bison","",TRUE
2001,1,"Bison bison","",TRUE
2002,5,"Bison bison","",TRUE
2003,2,"Bison bison","",TRUE
2004,2,"Bison bison","",TRUE
2005,4,"Bison bison","",TRUE
2006,5,"Bison bison","",TRUE
2007,3,"Bison bison","",TRUE
2008,5,"Bison bison","",TRUE
2009,1,"Bison bison","",TRUE
2010,1,"Bison bison","",TRUE
2011,1,"Bison bison","",TRUE
2012,2,"Bison bison","",TRUE
2013,6,"Bison bison","",TRUE
2014,6,"Bison bison","",TRUE
2015,2,"Bison bison","",TRUE
2016,4,"Bison bison","",TRUE
2017,2,"Bison bison","",TRUE
2018,3,"Bison bison","",TRUE
2019,1,"Bison bison","",TRUE
2020,7,"Bison bison","",TRUE
1979,1,"Bison bonasus","",TRUE
1991,1,"Bison bonasus","",TRUE
1998,2,"Bison bonasus","",TRUE
2002,1,"Bison bonasus","",TRUE
2006,1,"Bison bonasus","",TRUE
2013,2,"Bison bonasus","",TRUE
2014,3,"Bison bonasus","",TRUE
2016,2,"Bison bonasus","",TRUE
2017,1,"Bison bonasus","",TRUE
2018,1,"Bison bonasus","",TRUE
2010,1,"Blastocerus dichotomus","",TRUE
2015,1,"Blastocerus dichotomus","",TRUE
2018,1,"Blastocerus dichotomus","",TRUE
2009,1,"Bos frontalis","",TRUE
2013,1,"Bos frontalis","",TRUE
2017,2,"Bos frontalis","",TRUE
2020,1,"Bos frontalis","",TRUE
1995,1,"Bos grunniens","",TRUE
2002,1,"Bos grunniens","",TRUE
2007,1,"Bos grunniens","",TRUE
2010,1,"Bos grunniens","",TRUE
2012,2,"Bos grunniens","",TRUE
2013,4,"Bos grunniens","",TRUE
2015,4,"Bos grunniens","",TRUE
2016,3,"Bos grunniens","",TRUE
2017,2,"Bos grunniens","",TRUE
2018,1,"Bos grunniens","",TRUE
2019,1,"Bos grunniens","",TRUE
1980,1,"Bos javanicus","",TRUE
1984,1,"Bos javanicus","",TRUE
1992,1,"Bos javanicus","",TRUE
1993,2,"Bos javanicus","",TRUE
1994,2,"Bos javanicus","",TRUE
1995,5,"Bos javanicus","",TRUE
1998,2,"Bos javanicus","",TRUE
1999,1,"Bos javanicus","",TRUE
2001,2,"Bos javanicus","",TRUE
2007,1,"Bos javanicus","",TRUE
2008,1,"Bos javanicus","",TRUE
2009,1,"Bos javanicus","",TRUE
2010,1,"Bos javanicus","",TRUE
2012,1,"Bos javanicus","",TRUE
2014,1,"Bos javanicus","",TRUE
2015,1,"Bos javanicus","",TRUE
2016,1,"Bos mutus","",TRUE
1972,1,"Bos taurus","",TRUE
1981,2,"Bos taurus","",TRUE
1982,1,"Bos taurus","",TRUE
1984,1,"Bos taurus","",TRUE
1985,1,"Bos taurus","",TRUE
1992,2,"Bos taurus","",TRUE
1994,2,"Bos taurus","",TRUE
1995,2,"Bos taurus","",TRUE
1996,1,"Bos taurus","",TRUE
1998,2,"Bos taurus","",TRUE
1999,1,"Bos taurus","",TRUE
2005,1,"Bos taurus","",TRUE
2006,1,"Bos taurus","",TRUE
2007,1,"Bos taurus","",TRUE
2008,1,"Bos taurus","",TRUE
2009,4,"Bos taurus","",TRUE
2010,6,"Bos taurus","",TRUE
2011,4,"Bos taurus","",TRUE
2012,6,"Bos taurus","",TRUE
2013,5,"Bos taurus","",TRUE
2014,5,"Bos taurus","",TRUE
2015,6,"Bos taurus","",TRUE
2016,9,"Bos taurus","",TRUE
2017,7,"Bos taurus","",TRUE
2018,6,"Bos taurus","",TRUE
2019,4,"Bos taurus","",TRUE
2020,12,"Bos taurus","",TRUE
1981,1,"Bos taurus indicus","",TRUE
1984,1,"Bos taurus indicus","",TRUE
1992,1,"Bos taurus indicus","",TRUE
1993,1,"Bos taurus indicus","",TRUE
1994,1,"Bos taurus indicus","",TRUE
1995,2,"Bos taurus indicus","",TRUE
2003,1,"Bos taurus indicus","",TRUE
2008,1,"Bos taurus indicus","",TRUE
2010,1,"Bos taurus indicus","",TRUE
2011,2,"Bos taurus indicus","",TRUE
2015,2,"Bos taurus indicus","",TRUE
2016,1,"Bos taurus indicus","",TRUE
2017,4,"Bos taurus indicus","",TRUE
2018,3,"Bos taurus indicus","",TRUE
2020,3,"Bos taurus indicus","",TRUE
2006,1,"Bos taurus primigenius","",TRUE
2006,1,"Boselaphus tragocamelus","",TRUE
2012,1,"Brachyteles arachnoides","",TRUE
2018,1,"Brachyteles arachnoides","",TRUE
2018,0,"Bradypus tridactylus","No publications",TRUE
1983,3,"Bradypus variegatus","",TRUE
2016,1,"Bradypus variegatus","",TRUE
2018,1,"Bradypus variegatus","",TRUE
2019,1,"Bradypus variegatus","",TRUE
1979,2,"Bubalus bubalis","",TRUE
1983,1,"Bubalus bubalis","",TRUE
1984,1,"Bubalus bubalis","",TRUE
1988,1,"Bubalus bubalis","",TRUE
1989,2,"Bubalus bubalis","",TRUE
1994,1,"Bubalus bubalis","",TRUE
1996,1,"Bubalus bubalis","",TRUE
1997,1,"Bubalus bubalis","",TRUE
1998,1,"Bubalus bubalis","",TRUE
2000,1,"Bubalus bubalis","",TRUE
2004,2,"Bubalus bubalis","",TRUE
2005,2,"Bubalus bubalis","",TRUE
