"Host","Synonym"
"crocidura littoralis","crocidura littoralis"
"crocidura luna","crocidura luna"
"crocidura montis","crocidura montis"
"crocidura obscurior","crocidura obscurior"
"crocidura olivieri","crocidura olivieri"
"crocidura russula","crocidura russula"
"crocidura shantungensis","crocidura shantungensis"
"crocidura suaveolens","crocidura suaveolens"
"crocidura suaveolens","crocidura gueldenstaedtii"
"crocidura theresae","crocidura theresae"
"crocidura zaphiri","crocidura zaphiri"
"crocuta crocuta","crocuta crocuta"
"ctenodactylus gundi","ctenodactylus gundi"
"ctenodactylus gundi","ctenodactylus massonii"
"cuniculus paca","cuniculus paca"
"cuniculus paca","agouti paca"
"cyclopes didactylus","cyclopes didactylus"
"cyclopes didactylus","cyclopes didactylus didactylus"
"cyclopes didactylus","cyclopes didactylus melini"
"cyclopes didactylus","myrmecophaga didactyla"
"cyclopes didactylus","myrmecophaga monodactyla"
"cyclopes didactylus","myrmecophaga unicolor"
"cynictis penicillata","cynictis penicillata"
"cynomops abrasus","cynomops abrasus"
"cynomops planirostris","cynomops planirostris"
"cynomops planirostris","molossops planirostris"
"cynomops planirostris","cynomops paranus"
"cynomops planirostris","molossus planirostris"
"cynomops planirostris","molossus planirostris paranus"
"cynomys gunnisoni","cynomys gunnisoni"
"cynomys leucurus","cynomys leucurus"
"cynomys ludovicianus","cynomys ludovicianus"
"cynomys ludovicianus","cynomys pyrrotrichus"
"cynomys mexicanus","cynomys mexicanus"
"cynomys parvidens","cynomys parvidens"
"cynopterus brachyotis","cynopterus brachyotis"
"cynopterus horsfieldii","cynopterus horsfieldii"
"cynopterus horsfieldii","cynopterus horsfieldi"
"cynopterus sphinx","cynopterus sphinx"
"cystophora cristata","cystophora cristata"
"cystophora cristata","phoca cristata"
"cystophora cristata","cystophora borealis"
"cystophora cristata","phoca mitrata"
"dama dama","dama dama"
"damaliscus lunatus","damaliscus lunatus"
"damaliscus pygargus","damaliscus pygargus"
"damaliscus pygargus","damaliscus dorcas"
"damaliscus pygargus","damaliscus pygarus dorcas"
"dasycercus cristicauda","dasycercus cristicauda"
"dasymys incomtus","dasymys incomtus"
"dasymys incomtus","dasymys gueinzii"
"dasymys incomtus","dasymys helukus"
"dasymys incomtus","dasymys medius"
"dasymys incomtus","dasymys orthos"
"dasymys incomtus","dasymys savannus"
